whale_ID,AID,year,year_f,month,date,DOY,sex,DU,BAI_mean,BAI_SD,BAI_low,BAI_upp,mean_temp_30d,mean_temp_15d,prev_30d_hypoxic_days,prev_15d_hypoxic_days,prev15d_cuti_sum,prev15d_cuti_mean,ndays_Rx_15d,prev30d_cuti_sum,prev30d_cuti_mean,ndays_Rx_30d,winter,winter_precip_cm,kelp_area,MEI,MEI_season,PDO,PDO_season,CUTI_RX_ratio
CRC6,CRC6_200621,2020,2020,6,2020-06-21,173,Female,MF,26.0199940965148,0.232015968460326,25.5740954917037,26.4825153713147,9.9331859375,NA,4,0,2.945,0.368125,7,12.183,0.529695652173913,7,2019-2020,50.5,21692,-0.23,-0.754285714285714,-0.53,-0.981666666666667,1.0426904761904763
CRC6,CRC6_210823,2021,2021,8,2021-08-23,235,Female,MF,25.7473127483607,0.291772639277733,25.179698761863,26.3250775518654,7.81228708333333,8.15835638888889,11,2,8.074,0.734,4,16.735,0.697291666666667,6,2020-2021,96.47,12992,-1.44,-1.23428571428571,-2,-1.76833333333333,2.106142857142857
CRC6,CRC6_230720,2023,2023,7,2023-07-20,201,Female,MF,28.4982408351773,0.395780501786662,27.7442908698797,29.2936690662605,8.08191097222222,8.29035666666667,0,0,8.67,0.578,0,19.07,0.681071428571429,2,2022-2023,99.26,143972,0.43,0.31,-2.53,-2.66666666666667,2.5459714285714283
CRC6,CRC6_230807,2023,2023,8,2023-08-07,219,Female,MF,31.622120984166,0.45686280538639,30.7576955136867,32.5424910057865,8.57086638888889,8.84271861111111,0,0,6.342,0.453,1,13.867,0.478172413793103,1,2022-2023,99.26,143972,0.5,0.31,-2.52,-2.66666666666667,2.5459714285714283
CRC6,CRC6_230922,2023,2023,9,2023-09-22,265,Female,MF,25.9524976023855,0.338522467133137,25.302337243031,26.6007021652665,9.58998430555556,9.44094472222222,2,0,9.422,0.628133333333333,0,12.35,0.514583333333333,6,2022-2023,99.26,143972,0.51,0.31,-2.47,-2.66666666666667,2.5459714285714283
CRC84,CRC84_170719,2017,2017,7,2017-07-19,200,Male,MM,31.1433261785934,0.606115175316396,29.9529901394312,32.3609999105367,8.05458791666667,7.77037638888889,30,15,14.117,0.941133333333333,0,27.872,0.929066666666667,0,2016-2017,135.28,7345,-0.24,-0.418571428571429,0.33,0.01,2.392235294117647
CRC84,CRC84_180920,2018,2018,9,2018-09-20,263,Male,MM,28.7658318031995,0.492111127933343,27.8247766130147,29.7434053116927,9.65744638888889,10.3601675,7,2,3.052,0.3052,5,13.393,0.53572,5,2017-2018,51.23,26712,0.46,-0.175714285714286,-0.24,-0.421666666666667,2.1170750000000003
CRC84,CRC84_230922,2023,2023,9,2023-09-22,265,Male,MM,29.470276047085,0.382421901387967,28.7399095411832,30.2435204905616,9.58998430555556,9.44094472222222,2,0,9.422,0.628133333333333,0,12.35,0.514583333333333,6,2022-2023,99.26,143972,0.51,0.31,-2.47,-2.66666666666667,2.5459714285714283
CRC87,CRC87_180620,2018,2018,6,2018-06-20,171,Male,MM,25.2947351509334,0.570726574878423,24.1725068632545,26.4158156027737,8.88703333333333,9.26846833333333,11,8,3.675,0.459375,7,13.813,0.600565217391304,7,2017-2018,51.23,26712,-0.94,-0.175714285714286,-0.45,-0.421666666666667,2.1170750000000003
CRC89,CRC89_200828,2020,2020,8,2020-08-28,241,Male,MM,28.9491999272233,0.384972429354932,28.2140270221541,29.7240855856279,8.04299194444445,8.25595416666667,10,5,8.009,0.667416666666667,3,13.644,0.593217391304348,7,2019-2020,50.5,21692,-0.94,-0.754285714285714,-0.92,-0.981666666666667,1.0426904761904763
CRC89,CRC89_220904,2022,2022,9,2022-09-04,247,Male,MM,29.4611973285431,0.49851324574635,28.4719037782027,30.4222129214432,9.45529763888889,9.20009027777778,2,0,5.106,0.392769230769231,2,9.211,0.383791666666667,6,2021-2022,116.03,3632,-1.75,-1.78857142857143,-2.38,-2.16,1.5612894736842104
CRC89,CRC89_220923,2022,2022,9,2022-09-23,266,Male,MM,28.4418812949341,0.465487337741044,27.5255108396988,29.3589077432982,9.23538472222222,9.49059138888889,2,1,4.577,0.572125,7,11.857,0.538954545454545,8,2021-2022,116.03,3632,-1.75,-1.78857142857143,-2.38,-2.16,1.5612894736842104
CRC93,CRC93_170925,2017,2017,9,2017-09-25,268,Female,MF,26.9770001165257,0.618264357405418,25.7637424809666,28.1822627323101,9.5331901388888909,10.4674555555556,25,10,3.092,0.3865,7,8.43,0.4215,10,2016-2017,135.28,7345,-0.73,-0.418571428571429,-0.63,0.01,2.392235294117647
CRC93,CRC93_171004,2017,2017,10,2017-10-04,277,Female,MF,26.1376466079138,0.347859747263258,25.4253771634395,26.8095366992741,10.3403970833333,11.3747652777778,19,5,2.626,0.2626,5,5.529,0.325235294117647,13,2016-2017,135.28,7345,-0.74,-0.418571428571429,-0.2,0.01,2.392235294117647
CRC94,CRC94_170719,2017,2017,7,2017-07-19,200,Female,LF,21.8861275285688,0.374640694294361,21.141487545002,22.6230651772997,8.05458791666667,7.77037638888889,30,15,14.117,0.941133333333333,0,27.872,0.929066666666667,0,2016-2017,135.28,7345,-0.24,-0.418571428571429,0.33,0.01,2.392235294117647
CRC94,CRC94_170925,2017,2017,9,2017-09-25,268,Female,PWF,30.1158047756017,0.527641754644576,29.0749057067638,31.1757314549765,9.5331901388888909,10.4674555555556,25,10,3.092,0.3865,7,8.43,0.4215,10,2016-2017,135.28,7345,-0.73,-0.418571428571429,-0.63,0.01,2.392235294117647
CRC94,CRC94_180622,2018,2018,6,2018-06-22,173,Female,MF,24.6908634762099,0.423310966595551,23.8629500651169,25.5259750433986,8.86166236111111,9.27068972222222,13,8,4.025,0.447222222222222,6,13.133,0.571,7,2017-2018,51.23,26712,-0.94,-0.175714285714286,-0.45,-0.421666666666667,2.1170750000000003
CRC107,CRC107_200828,2020,2020,8,2020-08-28,241,Male,MM,25.2035074567668,0.216434538026707,24.7810623942856,25.622397324395,8.04299194444445,8.25595416666667,10,5,8.009,0.667416666666667,3,13.644,0.593217391304348,7,2019-2020,50.5,21692,-0.94,-0.754285714285714,-0.92,-0.981666666666667,1.0426904761904763
CRC123,CRC123_170701,2017,2017,7,2017-07-01,182,Female,MF,22.9918827319371,0.664812533856626,21.7009835548074,24.2917978565656,9.85117388888889,9.22674305555556,23,14,11.05,0.789285714285714,1,13.207,0.628904761904762,9,2016-2017,135.28,7345,-0.24,-0.418571428571429,0.33,0.01,2.392235294117647
CRC127,CRC127_180831,2018,2018,8,2018-08-31,243,Female,PF,34.8311980768576,0.392666808139968,34.0481584756346,35.5774084147772,8.81087972222222,8.94472583333333,8,6,9.326,0.621733333333333,0,13.03,0.482592592592593,3,2017-2018,51.23,26712,-0.05,-0.175714285714286,-0.01,-0.421666666666667,2.1170750000000003
CRC127,CRC127_200904,2020,2020,9,2020-09-04,248,Female,MF,26.7215199997987,0.227136980823821,26.2799814343323,27.1717088071916,8.01972916666667,8.20719833333333,15,9,10.977,0.844384615384615,2,17.996,0.666518518518519,3,2019-2020,50.5,21692,-0.96,-0.754285714285714,-1.33,-0.981666666666667,1.0426904761904763
CRC136,CRC136_190813,2019,2019,8,2019-08-13,225,Male,MM,31.8538148119949,0.605474148511132,30.6697031365218,33.034036442168,8.62314125,8.65132583333333,15,4,6.282,0.571090909090909,4,15.049,0.60196,5,2018-2019,40.11,36253,0.3,0.281428571428571,0.52,0.153333333333333,1.9955555555555533
CRC136,CRC136_190906,2019,2019,9,2019-09-06,249,Male,MM,31.0807192970311,0.397456758097158,30.2739860568544,31.8353052708853,9.04944666666667,9.07890111111111,5,5,7.971,0.7971,5,13.689,0.651857142857143,9,2018-2019,40.11,36253,0.32,0.281428571428571,0,0.153333333333333,1.9955555555555533
CRC136,CRC136_220912,2022,2022,9,2022-09-12,255,Male,MM,30.9610232093517,0.511867843248667,29.9740227375967,31.9748563881004,9.26286777777778,8.88340638888889,2,2,9.076,0.648285714285714,1,13.534,0.520538461538462,4,2021-2022,116.03,3632,-1.75,-1.78857142857143,-2.38,-2.16,1.5612894736842104
CRC136,CRC136_221003,2022,2022,10,2022-10-03,276,Male,MM,30.656644956619,0.297091214091599,30.0733802100496,31.2375176954417,9.95496847222222,10.8664386111111,2,0,3.149,0.393625,7,10.559,0.555736842105263,11,2021-2022,116.03,3632,-1.73,-1.78857142857143,-2.29,-2.16,1.5612894736842104
CRC136,CRC136_231007,2023,2023,10,2023-10-07,280,Male,MM,32.3374966149767,0.440356943701343,31.4774407990532,33.191017757374,10.2680377278072,11.3019039847884,0,0,4.995,0.624375,7,14.417,0.626826086956522,7,2022-2023,99.26,143972,0.68,0.31,-2.99,-2.66666666666667,2.5459714285714283
CRC140,CRC140_160828,2016,2016,8,2016-08-28,241,Male,MM,29.441831655117,0.416011149903246,28.6328704579733,30.2433020070082,7.87111041666667,8.02142,28,13,11.702,0.780133333333333,0,24.582,0.847655172413793,1,2015-2016,79.38,4824,-0.53,0.185714285714286,0.57,0.558333333333333,2.84890625
CRC169,CRC169_170706,2017,2017,7,2017-07-06,187,Female,PF,30.0537273059171,0.542151311071606,29.0012124602751,31.1181231011609,9.58554305555556,8.16074166666667,25,15,16.004,1.06693333333333,0,18.255,0.793695652173913,7,2016-2017,135.28,7345,-0.24,-0.418571428571429,0.33,0.01,2.392235294117647
CRC169,CRC169_170915,2017,2017,9,2017-09-15,258,Female,PF,32.2990591350249,0.570201214507477,31.1840116000864,33.4448396881112,8.52074319444444,8.78730527777778,30,15,5.168,0.469818181818182,4,15.637,0.601423076923077,4,2016-2017,135.28,7345,-0.73,-0.418571428571429,-0.63,0.01,2.392235294117647
CRC169,CRC169_180906,2018,2018,9,2018-09-06,249,Female,PWF,29.5700051848159,0.493652790913911,28.6100656136895,30.5634757071756,8.84587097222222,8.96462583333333,11,5,10.68,0.712,0,17.709,0.5903,0,2017-2018,51.23,26712,0.46,-0.175714285714286,-0.24,-0.421666666666667,2.1170750000000003
CRC169,CRC169_181002,2018,2018,10,2018-10-02,275,Female,PWF,28.5642729919101,0.456476330866722,27.6998653044793,29.4785855566948,9.93420583333333,10.0118319444444,7,2,7.057,0.7057,5,12.907,0.64535,10,2017-2018,51.23,26712,0.62,-0.175714285714286,-0.35,-0.421666666666667,2.1170750000000003
CRC169,CRC169_200622,2020,2020,6,2020-06-22,174,Female,MF,28.0875810441353,0.30024838686115,27.4907110609356,28.6752930342045,9.77345773809524,NA,4,0,2.708,0.3385,7,11.922,0.518347826086957,7,2019-2020,50.5,21692,-0.23,-0.754285714285714,-0.53,-0.981666666666667,1.0426904761904763
CRC169,CRC169_200711,2020,2020,7,2020-07-11,193,Female,MF,29.0091832489629,0.162484887351122,28.6909840467524,29.3262196994137,NA,NA,0,0,5.329,0.444083333333333,3,10.801,0.490954545454545,8,2019-2020,50.5,21692,-0.68,-0.754285714285714,-0.75,-0.981666666666667,1.0426904761904763
CRC169,CRC169_200724,2020,2020,7,2020-07-24,206,Female,MF,27.3435835152419,0.167010265790819,27.0176431133077,27.6723531838965,7.59972261904762,7.59972261904762,12,12,8.688,0.668307692307692,2,15.239,0.586115384615385,4,2019-2020,50.5,21692,-0.68,-0.754285714285714,-0.75,-0.981666666666667,1.0426904761904763
CRC178,CRC178_220710,2022,2022,7,2022-07-10,191,Female,LF,24.6921976453514,0.523751292491611,23.691133281982,25.6843970767967,8.79331777777778,8.63998972222222,6,1,4.751,0.431909090909091,4,11.989,0.521260869565217,7,2021-2022,116.03,3632,-1.9,-1.78857142857143,-1.32,-2.16,1.5612894736842104
CRC186,CRC186_170916,2017,2017,9,2017-09-16,259,Male,MM,23.860248508635,0.468696642060025,22.9452979031812,24.772223215005,8.53420513888889,8.84720194444444,30,15,5.035,0.5035,5,14.998,0.59992,5,2016-2017,135.28,7345,-0.73,-0.418571428571429,-0.63,0.01,2.392235294117647
CRC186,CRC186_180612,2018,2018,6,2018-06-12,163,Male,MM,24.6341075024442,0.269470223631576,24.1060835896197,25.14601928613,8.96363527777778,8.89316055555556,5,5,6.287,0.698555555555556,6,12.001,0.60005,10,2017-2018,51.23,26712,-0.94,-0.175714285714286,-0.45,-0.421666666666667,2.1170750000000003
CRC186,CRC186_191007,2019,2019,10,2019-10-07,280,Male,MM,25.7943498851254,0.604218447767093,24.6164945953156,26.9714439163055,12.0511573611111,10.3083333333333,0,0,6.202,0.516833333333333,3,7.619,0.401,11,2018-2019,40.11,36253,0.16,0.281428571428571,0.12,0.153333333333333,1.9955555555555533
CRC186,CRC186_210522,2021,2021,5,2021-05-22,142,Male,MM,23.8430385267047,0.168308572774087,23.5104682056934,24.1786787177726,8.20290625,7.75224611111111,1,1,11.901,0.915461538461538,2,14.856,0.645913043478261,7,2020-2021,96.47,12992,-0.95,-1.23428571428571,-1.84,-1.76833333333333,2.106142857142857
CRC186,CRC186_210825,2021,2021,8,2021-08-25,237,Male,MM,22.5871950377311,0.220224654917551,22.1671310524324,23.0147029537469,7.86528458333333,8.218275,9,1,8.717,0.792454545454545,4,16.047,0.668625,6,2020-2021,96.47,12992,-1.44,-1.23428571428571,-2,-1.76833333333333,2.106142857142857
CRC186,CRC186_210904,2021,2021,9,2021-09-04,247,Male,MM,24.6949143702147,0.448142194917972,23.8254052891219,25.5678024312921,8.10490652777778,8.23458694444444,8,6,12.316,0.879714285714286,1,18.641,0.776708333333333,6,2020-2021,96.47,12992,-1.29,-1.23428571428571,-0.95,-1.76833333333333,2.106142857142857
CRC186,CRC186_220722,2022,2022,7,2022-07-22,203,Male,MM,21.6030822505044,0.376186756382303,20.8560700148436,22.3418301006665,8.34194777777778,8.16169305555556,13,9,8.755,0.795909090909091,4,17.414,0.725583333333333,6,2021-2022,116.03,3632,-1.9,-1.78857142857143,-1.32,-2.16,1.5612894736842104
CRC186,CRC186_220821,2022,2022,8,2022-08-21,233,Male,MM,24.8436599899192,0.489740536878177,23.895528928791,25.8282624536052,8.93910388888889,9.82291972222222,6,1,3.616,0.3616,5,11.933,0.497208333333333,6,2021-2022,116.03,3632,-2.17,-1.78857142857143,-2.64,-2.16,1.5612894736842104
CRC186,CRC186_220904,2022,2022,9,2022-09-04,247,Male,MM,26.9491106937784,0.462012010789299,26.0499336858562,27.8470227012753,9.45529763888889,9.20009027777778,2,0,5.106,0.392769230769231,2,9.211,0.383791666666667,6,2021-2022,116.03,3632,-1.75,-1.78857142857143,-2.38,-2.16,1.5612894736842104
CRC186,CRC186_221004,2022,2022,10,2022-10-04,277,Male,MM,26.2450225709895,0.28867850174212,25.6777816600083,26.8195533869089,10.0235305555556,10.9850430555556,2,0,2.976,0.425142857142857,8,10.274,0.570777777777778,12,2021-2022,116.03,3632,-1.73,-1.78857142857143,-2.29,-2.16,1.5612894736842104
CRC192,CRC192_171004,2017,2017,10,2017-10-04,277,Female,MF,24.9545600783759,0.323901864836785,24.3070998737586,25.5978973923226,10.3403970833333,11.3747652777778,19,5,2.626,0.2626,5,5.529,0.325235294117647,13,2016-2017,135.28,7345,-0.74,-0.418571428571429,-0.2,0.01,2.392235294117647
CRC196,CRC196_190722,2019,2019,7,2019-07-22,203,Female,MF,30.5488320393162,0.547563907044054,29.4867368888735,31.6368027033957,9.19760930555556,9.29503861111111,4,4,5.16,0.469090909090909,4,10.423,0.496333333333333,9,2018-2019,40.11,36253,0.35,0.281428571428571,-0.07,0.153333333333333,1.9955555555555533
CRC196,CRC196_190820,2019,2019,8,2019-08-20,232,Female,MF,28.7797801832496,0.486514402078176,27.8063190986871,29.7295342754317,8.57611458333333,8.91131722222222,12,2,7.274,0.559538461538462,2,17.091,0.657346153846154,4,2018-2019,40.11,36253,0.3,0.281428571428571,0.52,0.153333333333333,1.9955555555555533
CRC196,CRC196_200806,2020,2020,8,2020-08-06,219,Female,MF,27.9577834593007,0.19619230472294,27.5719196329467,28.3295047895578,7.67116085714286,7.69924361111111,16,6,5.162,0.469272727272727,4,13.362,0.58095652173913,7,2019-2020,50.5,21692,-0.94,-0.754285714285714,-0.92,-0.981666666666667,1.0426904761904763
